id,name,full_name,,repo_name,created_at,updated_at,pushed_at,stargazers_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,mirror_url,open_issues_count,Commit,Branch,Release,Contributor,License,owner_id,owner_login,location
9709563,summernote,summernote,summernote,summernote/summernote,2013-04-27T04:59:48Z,2017-09-10T08:24:09Z,2017-09-09T11:11:07Z,6307,TRUE,TRUE,TRUE,TRUE,FALSE,1378,,906,2474,17,49,177,MIT,,,Korea
25459400,pinpoint,naver,pinpoint,naver/pinpoint,2014-10-20T09:27:22Z,2017-09-11T01:15:43Z,2017-09-11T02:22:36Z,4381,TRUE,FALSE,TRUE,TRUE,FALSE,1401,,152,9278,5,15,48,Apache-2.0,,,Korea
7323572,qrcodejs,davidshimjs,qrcodejs,davidshimjs/qrcodejs,2012-12-26T05:29:39Z,2017-09-10T16:23:15Z,2017-07-29T08:05:59Z,3770,TRUE,TRUE,TRUE,TRUE,TRUE,1005,,96,46,3,0,15,MIT,,,Korea
18250334,crow,ipkn,crow,ipkn/crow,2014-03-29T20:40:24Z,2017-09-10T23:34:12Z,2017-09-06T06:42:54Z,3403,TRUE,TRUE,TRUE,TRUE,FALSE,401,,126,275,1,0,23,BSD-3-Clause,,,Korea
65090756,open-color,yeun,open-color,yeun/open-color,2016-08-06T16:10:41Z,2017-09-09T16:55:46Z,2017-06-20T19:41:36Z,2968,TRUE,TRUE,TRUE,TRUE,TRUE,127,,11,162,2,11,20,MIT,,,Korea
84533158,pytorch-tutorial,yunjey,pytorch-tutorial,yunjey/pytorch-tutorial,2017-03-10T07:41:47Z,2017-09-11T02:03:12Z,2017-08-06T07:47:36Z,2737,TRUE,TRUE,TRUE,TRUE,FALSE,529,,3,115,1,0,10,MIT,,,Korea
29420377,Awesome-CV,posquit0,Awesome-CV,posquit0/Awesome-CV,2015-01-18T08:42:23Z,2017-09-10T16:09:59Z,2017-09-05T20:51:48Z,2736,TRUE,TRUE,TRUE,TRUE,FALSE,821,,73,182,1,0,13,BSD-3-Clause,,,Korea
23616394,profiling,what-studio,profiling,what-studio/profiling,2014-09-03T10:35:57Z,2017-09-08T14:50:01Z,2017-06-28T06:10:03Z,2595,TRUE,TRUE,TRUE,FALSE,FALSE,97,,7,414,2,4,9,BSD-3-Clause,,,Korea
80011155,qart.js,kciter,qart.js,kciter/qart.js,2017-01-25T12:10:14Z,2017-09-09T10:18:07Z,2017-09-02T06:44:20Z,2344,TRUE,TRUE,TRUE,TRUE,TRUE,106,,3,70,4,3,5,GPL-3.0,,,Korea
90341204,Pastel,cruisediary,Pastel,cruisediary/Pastel,2017-05-05T05:45:54Z,2017-09-11T01:23:45Z,2017-05-31T16:11:16Z,2190,TRUE,TRUE,TRUE,TRUE,FALSE,97,,10,46,6,7,4,MIT,,,Korea
48533709,Then,devxoul,Then,devxoul/Then,2015-12-24T08:29:37Z,2017-09-10T11:40:32Z,2017-06-23T04:41:14Z,1838,TRUE,TRUE,TRUE,FALSE,FALSE,107,,5,95,2,12,11,MIT,,,Korea
73660839,speech-to-text-wavenet,buriburisuri,speech-to-text-wavenet,buriburisuri/speech-to-text-wavenet,2016-11-14T02:54:01Z,2017-09-11T02:14:12Z,2017-07-18T17:55:38Z,1747,TRUE,TRUE,TRUE,TRUE,FALSE,293,,53,27,2,0,4,Apache-2.0,,,Korea
17205044,libPhoneNumber-iOS,iziz,libPhoneNumber-iOS,iziz/libPhoneNumber-iOS,2014-02-26T09:09:15Z,2017-09-10T03:11:37Z,2017-08-31T17:37:18Z,1695,TRUE,TRUE,TRUE,TRUE,FALSE,249,,20,417,5,33,35,Apache-2.0,,,Korea
9234481,FinestWebView-Android,TheFinestArtist,FinestWebView-Android,TheFinestArtist/FinestWebView-Android,2013-04-05T05:29:08Z,2017-09-09T17:02:25Z,2017-07-12T11:39:18Z,1571,TRUE,TRUE,TRUE,TRUE,FALSE,356,,80,193,3,17,10,Apache-2.0,,,Korea
12207953,FFmpeg-iOS-build-script,kewlbear,FFmpeg-iOS-build-script,kewlbear/FFmpeg-iOS-build-script,2013-08-19T05:25:07Z,2017-09-10T09:15:19Z,2017-04-27T03:52:51Z,1559,TRUE,TRUE,TRUE,TRUE,FALSE,538,,3,109,3,3,2,MIT,,,Korea
24311052,awesome-sqlalchemy,dahlia,awesome-sqlalchemy,dahlia/awesome-sqlalchemy,2014-09-22T02:13:34Z,2017-09-05T15:15:08Z,2017-05-26T23:42:47Z,1444,TRUE,TRUE,TRUE,FALSE,FALSE,83,,3,130,1,0,33,BSD-3-Clause,,,Korea
78835091,reinforcement-learning,rlcode,reinforcement-learning,rlcode/reinforcement-learning,2017-01-13T09:30:09Z,2017-09-10T19:53:28Z,2017-07-13T10:57:43Z,1426,TRUE,TRUE,TRUE,TRUE,FALSE,236,,4,262,4,0,9,MIT,,,Korea
19648633,Android-ParallaxHeaderViewPager,kmshack,Android-ParallaxHeaderViewPager,kmshack/Android-ParallaxHeaderViewPager,2014-05-10T18:19:45Z,2017-09-09T07:37:04Z,2017-03-15T02:43:33Z,1335,TRUE,TRUE,TRUE,TRUE,FALSE,360,,28,42,1,0,5,Apache-2.0,,,Korea
51241838,URLNavigator,devxoul,URLNavigator,devxoul/URLNavigator,2016-02-07T09:14:17Z,2017-09-09T12:02:50Z,2017-09-10T00:55:59Z,1269,TRUE,TRUE,TRUE,FALSE,FALSE,85,,15,149,2,22,6,MIT,,,Korea
8000907,haroopad,rhiokim,haroopad,rhiokim/haroopad,2013-02-04T04:11:21Z,2017-09-10T13:10:42Z,2017-03-26T10:43:29Z,1240,TRUE,TRUE,TRUE,TRUE,TRUE,193,,193,228,2,3,10,GPL-3.0,,,Korea
6564048,PinterestLikeAdapterView,GDG-Korea,PinterestLikeAdapterView,GDG-Korea/PinterestLikeAdapterView,2012-11-06T15:12:05Z,2017-09-08T12:58:53Z,2017-08-08T08:16:14Z,1132,TRUE,TRUE,TRUE,TRUE,FALSE,841,,23,133,2,0,8,Apache-2.0,,,Korea
29100229,slack-invite-automation,outsideris,slack-invite-automation,outsideris/slack-invite-automation,2015-01-11T17:52:59Z,2017-09-09T11:58:10Z,2017-08-22T23:34:30Z,1065,TRUE,TRUE,TRUE,TRUE,FALSE,639,,9,129,1,0,37,MIT,,,Korea
90641944,TLPhotoPicker,tilltue,TLPhotoPicker,tilltue/TLPhotoPicker,2017-05-08T15:10:34Z,2017-09-09T16:06:08Z,2017-09-03T13:39:52Z,1003,TRUE,TRUE,TRUE,TRUE,FALSE,64,,2,57,2,13,6,MIT,,,Korea
64145955,NXDrawKit,Nicejinux,NXDrawKit,Nicejinux/NXDrawKit,2016-07-25T15:24:46Z,2017-09-08T16:35:26Z,2017-05-14T04:38:35Z,974,TRUE,TRUE,TRUE,TRUE,FALSE,70,,3,74,1,14,14,MIT,,,Korea
81450548,MotionBook,younatics,MotionBook,younatics/MotionBook,2017-02-09T12:59:27Z,2017-09-11T01:42:58Z,2017-09-09T11:26:03Z,922,TRUE,TRUE,TRUE,TRUE,FALSE,73,,0,163,2,0,7,MIT,,,Korea
27949451,SelectableRoundedImageView,pungrue26,SelectableRoundedImageView,pungrue26/SelectableRoundedImageView,2014-12-13T04:34:34Z,2017-09-04T07:12:18Z,2017-07-12T10:47:34Z,847,TRUE,TRUE,TRUE,TRUE,FALSE,204,,2,27,1,0,1,Apache-2.0,,,Korea
79372336,TensorFlow-Tutorials,golbin,TensorFlow-Tutorials,golbin/TensorFlow-Tutorials,2017-01-18T18:50:06Z,2017-09-11T00:33:20Z,2017-08-30T11:03:59Z,839,TRUE,TRUE,TRUE,TRUE,FALSE,286,,0,65,2,0,1,MIT,,,Korea
62412616,RxTodo,devxoul,RxTodo,devxoul/RxTodo,2016-07-01T18:31:50Z,2017-09-10T09:16:13Z,2017-06-08T16:25:24Z,822,TRUE,TRUE,TRUE,TRUE,FALSE,126,,1,109,2,0,4,MIT,,,Korea
46768645,egjs,naver,egjs,naver/egjs,2015-11-24T05:18:03Z,2017-09-03T23:11:02Z,2017-08-17T09:58:45Z,785,TRUE,TRUE,TRUE,TRUE,TRUE,87,,3,1363,3,9,14,MIT,,,Korea
74197017,numpy_exercises,Kyubyong,numpy_exercises,Kyubyong/numpy_exercises,2016-11-19T08:36:34Z,2017-09-11T02:00:42Z,2017-04-01T04:51:28Z,770,TRUE,TRUE,TRUE,TRUE,FALSE,182,,0,40,1,0,2,MIT,,,Korea
23093685,UzysAssetsPickerController,uzysjung,UzysAssetsPickerController,uzysjung/UzysAssetsPickerController,2014-08-19T02:15:34Z,2017-09-08T10:43:21Z,2017-09-01T06:55:10Z,744,TRUE,TRUE,TRUE,TRUE,FALSE,157,,20,95,1,10,6,MIT,,,Korea
82458708,YNDropDownMenu,younatics,YNDropDownMenu,younatics/YNDropDownMenu,2017-02-19T12:53:02Z,2017-09-09T20:21:29Z,2017-09-09T11:34:27Z,736,TRUE,TRUE,TRUE,TRUE,TRUE,59,,1,184,2,34,5,MIT,,,Korea
